Price,Location,Area,Rooms,Bathrooms,Pieces,Type of property,Floor,Condition,Age,Air conditioning,Garden,Furnished,Pool,Heating,Equipped kitchen,Double glazing,Security system,Terrace,Elevator,Satellite dish,Oven,Mountains views,Internet,Flooring,Garage,Concierge,Reinforced Door,Microwave,Fridge,TV,Washing machine,Sea views
"845,000 TND",Hammamet Nord inHammamet,345m²,4 Rooms,3 Bathrooms,5 Pieces,Villa,,New,,yes,yes,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
"1,170,000 TND",Utique,7000m²,4 Rooms,5 Bathrooms,5 Pieces,Villa,,New,5-10 years old,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,yes,no,yes,yes,yes,no,yes,no
"1,500,000 TND",Cité Du Stade inLa Marsa,225m²,4 Rooms,4 Bathrooms,5 Pieces,Villa,,Good condition,5-10 years old,yes,yes,no,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,yes,yes,yes,no,yes,no
"500,000 TND",La Marsa inLa Marsa,100m²,2 Rooms,2 Bathrooms,3 Pieces,Apartment,1st,New,Less than 1 year,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no
"898,000 TND",La Marsa inLa Marsa,204m²,2 Rooms,2 Bathrooms,3 Pieces,Apartment,,New,Less than 1 year,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no
"629,000 TND",La Marsa inLa Marsa,137m²,2 Rooms,2 Bathrooms,3 Pieces,Apartment,2nd,New,Less than 1 year,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no
"745,000 TND",La Marsa inLa Marsa,155m²,3 Rooms,2 Bathrooms,4 Pieces,Apartment,1st,New,Less than 1 year,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no
"500,000 TND",La Marsa inLa Marsa,100m²,2 Rooms,2 Bathrooms,3 Pieces,Apartment,1st,New,Less than 1 year,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no
"1,130,000 TND",Hammamet Nord inHammamet,500m²,4 Rooms,4 Bathrooms,5 Pieces,Villa,,New,,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes
"450,000 TND",Les Jardins de Carthage inLe Kram,106m²,2 Rooms,1 Bathroom,3 Pieces,Apartment,5th,Good condition,5-10 years old,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no,no
"528,000 TND",La Marsa inLa Marsa,119m²,2 Rooms,2 Bathrooms,3 Pieces,Apartment,,New,,yes,yes,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,yes,no,no,no,no,no
"370,000 TND",Hammam Sousse inHammam Sousse,143m²,,,,Apartment,,,,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes
"680,000 TND",Aouina inLa Marsa,328m²,3 Rooms,2 Bathrooms,4 Pieces,Villa,,New,1-5 years old,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,yes,yes,no,no,no,no,no
Price on request,El Mourouj 6 inEl Mourouj,101m²,2 Rooms,1 Bathroom,3 Pieces,Apartment,2nd,New,Less than 1 year,no,no,no,no,yes,no,no,yes,no,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,no,no
"290,000 TND",Aouina inLa Marsa,132m²,3 Rooms,2 Bathrooms,4 Pieces,Apartment,3rd,Good condition,5-10 years old,yes,no,no,no,yes,yes,no,no,no,yes,yes,yes,no,no,no,no,yes,no,no,yes,no,no,no
