Type,Price,Location,Area,Rooms,Bathrooms,Condition,Air conditioning,Garden,Heating,Furnished,Equipped kitchen,Double glazing,Security system,Terrace,Elevator,Satellite dish,Oven,Mountains views,Internet,Flooring,Garage,Pool,Concierge,Reinforced Door,Microwave,Fridge,TV,Washing machine,Sea views
apartment,3500.0,La Marsa,180,3,3,Good condition,yes,no,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,yes
apartment,2500.0,Yasmine Hammamet,160,2,2,New,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no
apartment,1500.0,Hammamet Nord,100,2,2,New,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
house,5000.0,La Marsa,800,5,3,Good condition,yes,yes,yes,no,yes,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no
house,6000.0,El Menzah 7,800,9,4,Good condition,yes,yes,yes,no,yes,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no
apartment,1400.0,Cité Ennasr 2,120,2,2,New,yes,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
apartment,750.0,Cité Ennkhilet,95,2,1,Good condition,no,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
apartment,1100.0,Sahloul,120,2,1,New,yes,no,yes,no,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no
house,6000.0,Chott Meriem,1000,7,7,Good condition,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes
house,3500.0,Sidi Daoued,150,4,2,Good condition,yes,yes,yes,no,yes,no,yes,yes,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no
house,4000.0,Les Berges Du Lac 2,250,3,2,Good condition,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,no
apartment,3500.0,La Marsa,200,2,1,Good condition,yes,no,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,no,no,no,yes,yes,yes,yes,no,no,no
house,1200.0,La Marsa,130,2,1,New,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
apartment,1450.0,Les Jardins de Carthage,90,2,1,Good condition,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes,yes,no,no,no,no
apartment,4300.0,Les Berges Du Lac 1,190,3,3,New,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,no,yes,yes,yes,no,no,no,yes
house,3600.0,La Soukra,400,3,1,New,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
apartment,3800.0,Les Berges Du Lac 2,190,3,1,New,yes,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no
apartment,5500.0,Les Berges Du Lac 2,300,3,1,New,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,no,yes,yes,yes,no,no,no
