Price,Type of property,City,Region,Area,Rooms,Bathrooms,Condition,Air conditioning,Garden,Furnished,Pool,Heating,Equipped kitchen,Double glazing,Security system,Terrace,Elevator,Satellite dish,Oven,Mountains views,Internet,Flooring,Garage,Concierge,Reinforced Door,Microwave,Fridge,TV,Washing machine,Sea views
845000.0,Villa,Hammamet Nord,Hammamet,345,4,3,New,yes,yes,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
1500000.0,Villa,Cité Du Stade,La Marsa,225,4,4,Good condition,yes,yes,no,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,yes,yes,yes,no,yes,no
500000.0,Apartment,La Marsa,La Marsa,100,2,2,New,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no
898000.0,Apartment,La Marsa,La Marsa,204,2,2,New,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no
629000.0,Apartment,La Marsa,La Marsa,137,2,2,New,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no
745000.0,Apartment,La Marsa,La Marsa,155,3,2,New,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no
1130000.0,Villa,Hammamet Nord,Hammamet,500,4,4,New,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes
450000.0,Apartment,Les Jardins de Carthage,Le Kram,106,2,1,Good condition,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no,no
528000.0,Apartment,La Marsa,La Marsa,119,2,2,New,yes,yes,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,yes,no,no,no,no,no
680000.0,Villa,Aouina,La Marsa,328,3,2,New,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,yes,yes,no,no,no,no,no
290000.0,Apartment,Aouina,La Marsa,132,3,2,Good condition,yes,no,no,no,yes,yes,no,no,no,yes,yes,yes,no,no,no,no,yes,no,no,yes,no,no,no
290000.0,Apartment,Aouina,La Marsa,124,2,2,Good condition,no,no,no,no,yes,yes,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no
2116620.0,Apartment,La Marsa,La Marsa,279,4,4,New,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,no,yes,no,yes,yes,yes,no,yes,no
3600000.0,House,Sidi Bousaid,Carthage,210,3,2,Due for reform,yes,no,no,no,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes
550000.0,Apartment,Les Berges Du Lac 2,La Marsa,125,2,1,Good condition,yes,yes,no,no,yes,yes,no,yes,yes,yes,no,yes,no,no,no,yes,yes,no,yes,yes,no,yes,no
513000.0,Apartment,La Soukra,La Soukra,135,3,3,New,yes,no,no,no,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,yes,yes,no,no,no
1700000.0,House,Les Berges Du Lac 2,La Marsa,341,3,4,Good condition,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,no,no
380000.0,Apartment,Hammamet Nord,Hammamet,108,2,2,New,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,no,yes
270000.0,Villa,Kélibia,Kélibia,170,3,1,Good condition,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
170000.0,Apartment,Kélibia,Kélibia,100,2,1,New,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
138000.0,Apartment,Hammam El Ghezaz,Hammam El Ghezaz,56,1,1,New,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
170000.0,Apartment,Kélibia,Kélibia,134,2,1,New,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
700000.0,Villa,Kélibia,Kélibia,500,4,2,New,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,yes
260000.0,Apartment,Les Berges Du Lac 1,La Marsa,60,1,1,Good condition,yes,no,no,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,yes,yes,yes,no,no,no,no,no
300000.0,Apartment,Hammam Sousse,Hammam Sousse,150,3,2,Good condition,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
250000.0,Apartment,Cité El Wafa,Nabeul,73,1,1,Good condition,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,no,no,no,no,no
1600000.0,Villa,Aouina,La Marsa,624,4,3,Good condition,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,no
450000.0,Apartment,Aouina,La Marsa,195,4,2,Good condition,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no
315000.0,Apartment,Aouina,La Marsa,157,3,2,Good condition,yes,no,no,no,yes,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no
318000.0,Apartment,Aouina,La Marsa,127,3,2,Good condition,yes,no,no,no,yes,yes,no,no,no,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no
2100000.0,Apartment,Les Jardins de Carthage,Le Kram,367,3,3,New,yes,no,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,no
3200000.0,House,Gammarth Supérieur,La Marsa,703,6,5,Good condition,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,yes,no,yes,yes,yes,no,yes,no
4200000.0,Villa,Les Berges Du Lac 2,La Marsa,750,9,7,Good condition,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no
980000.0,Apartment,Les Berges Du Lac 2,La Marsa,234,4,3,Good condition,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,yes,no
399000.0,House,Hammamet,Hammamet,195,4,2,Good condition,yes,yes,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
1200000.0,Villa,Chotrana 1,La Soukra,500,4,3,Good condition,yes,yes,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
303000.0,Apartment,El Mourouj 6,El Mourouj,122,2,2,New,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,no,no
320000.0,Apartment,Hammamet Nord,Hammamet,86,2,1,Good condition,yes,no,no,no,yes,yes,no,no,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no
750000.0,Apartment,Gammarth,La Marsa,200,3,2,New,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
350000.0,Apartment,Sahloul,Sousse Ville,140,3,2,New,yes,no,no,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no
398000.0,Apartment,Sahloul,Sousse Ville,143,3,2,New,yes,no,no,no,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no
335000.0,Apartment,Sahloul,Sousse Ville,119,2,1,New,yes,no,no,no,yes,yes,no,yes,no,yes,no,yes,no,no,no,yes,yes,no,no,no,no,no,no
375000.0,Apartment,Sahloul,Sousse Ville,118,2,2,New,yes,no,no,no,yes,yes,no,yes,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no
318000.0,Apartment,Sahloul,Sousse Ville,105,2,2,New,yes,no,yes,no,yes,yes,no,yes,no,yes,no,yes,no,no,no,no,yes,no,yes,yes,no,yes,no
315000.0,Apartment,Sahloul,Sousse Ville,116,2,2,New,yes,no,no,no,yes,yes,no,yes,no,yes,no,yes,no,no,no,yes,yes,no,no,no,no,no,no
2200000.0,Villa,Les Jardins de Carthage,Le Kram,570,3,3,Good condition,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,no,no,no
1800000.0,Villa,El Menzah 9,El Menzah,600,4,4,Good condition,yes,yes,no,no,yes,yes,yes,yes,yes,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,no
440000.0,Apartment,Les Jardins de Carthage,Le Kram,70,1,1,New,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,yes,yes,no,no,no,no,no
650000.0,Apartment,Ain Zaghouan Nord,La Marsa,144,4,3,Good condition,yes,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes
