Title,Price,Location,Area,Pieces,Rooms,Bathrooms,Condition,Stage,Air conditioning,Heating,Equipped kitchen,Double glazing,Security system,Terrace,Elevator,Satellite dish,Oven,Mountains views,Internet,Flooring,Garage,Concierge,Reinforced Door,Microwave,Fridge,TV,Washing machine,Sea views,Age,uknown
Apartment for rent in Aouina. Total area 120 m². With garage and lift.,"1,400 TND",Aouina inLa Marsa,120m²,3 Pieces,2 Rooms,2 Bathrooms,New,2ndstage,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,no,no,no,no,no,,
Great apartment for rent in Aouina. 3 large rooms. caretaker and air conditioning.,"2,800 TND",La Marsa inLa Marsa,135m²,3 Pieces,2 Rooms,2 Bathrooms,New,1ststage,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,Less than 1 year,
Apartment for rent in Les Jardins de Carthage. 2 rooms. Attic.,"2,500 TND",Les Jardins de Carthage inLe Kram,60m²,2 Pieces,1 Room,1 Bathroom,New,,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,,
Apartment for rent in La Marsa. Large area 68 m². Well furnished.,"1,800 TND",La Marsa inLa Marsa,68m²,2 Pieces,1 Room,1 Bathroom,New,,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,,
"Rent this apartment in Les Jardins de Carthage. 4 comfortable rooms. With Lift, Balcony.","3,400 TND",Les Jardins de Carthage inLe Kram,160m²,4 Pieces,3 Rooms,2 Bathrooms,New,6thstage,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,,
"Find an apartment for rent in Les Jardins de Carthage. 4 rooms. Double glazed window, Central air conditioning.","2,500 TND",Les Jardins de Carthage inLe Kram,175m²,4 Pieces,3 Rooms,3 Bathrooms,Good condition,2ndstage,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no,5-10 years old,
Very nice apartment for rent in La Marsa. 2 lovely rooms.,"3,500 TND",La Marsa inLa Marsa,110m²,2 Pieces,2 Rooms,1 Bathroom,New,,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,,
Lovely apartment for rent in Cité El Hana. 4 rooms. Attic.,"2,500 TND",La Marsa inLa Marsa,250m²,4 Pieces,3 Rooms,2 Bathrooms,Good condition,,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,
Apartments for rent in Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartments for rent in Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartments for rent in Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartments for rent in Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartments for rent in Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartments for rent in Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartments for rent in Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartments for rent in Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartments for rent in Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
