Type,Price,Location,Area,Pieces,Rooms,Bathrooms,Condition,Air conditioning,Garden,Heating,Furnished,Equipped kitchen,Double glazing,Security system,Terrace,Elevator,Satellite dish,Oven,Mountains views,Internet,Flooring,Garage,Pool,Concierge,Reinforced Door,Microwave,Fridge,TV,Washing machine,Sea views,Stage,Age,uknown
apartment,"3,500 TND",La Marsa inLa Marsa,180m²,4 Pieces,3 Rooms,3 Bathrooms,Good condition,yes,no,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,yes,,,
apartment,"2,500 TND",Yasmine Hammamet inHammamet,160m²,3 Pieces,2 Rooms,2 Bathrooms,New,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,,,
apartment,"1,500 TND",Hammamet Nord inHammamet,100m²,3 Pieces,2 Rooms,2 Bathrooms,New,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,
house,"5,000 TND",La Marsa inLa Marsa,800m²,6 Pieces,5 Rooms,3 Bathrooms,Good condition,yes,yes,yes,no,yes,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,,,
house,"6,000 TND",La Marsa inLa Marsa,250m²,,5 Rooms,,,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,,,
house,"6,500 TND",La Marsa inLa Marsa,480m²,,3 Rooms,,,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,"6,000 TND",El Menzah 7 inAriana Ville,800m²,10 Pieces,9 Rooms,4 Bathrooms,Good condition,yes,yes,yes,no,yes,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,,,
apartment,"1,400 TND",Cité Ennasr 2 inAriana Ville,120m²,3 Pieces,2 Rooms,2 Bathrooms,New,yes,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2ndstage,,
